,DEST_CITY_NAME,lat,lon
114,"San Juan, PR",18.4655394,-66.1057355
115,"Santa Ana, CA",33.7455731,-117.8678338
116,"Santa Fe, NM",35.6869752,-105.937799
117,"Savannah, GA",32.0835407,-81.0998342
118,"Seattle, WA",47.6062095,-122.3320708
119,"Shreveport, LA",32.5251516,-93.7501789
120,"Springfield, IL",39.7817213,-89.6501481
121,"St. Louis, MO",38.6270025,-90.1994042
122,"Tampa, FL",27.950575,-82.4571776
123,"Texarkana, AR",33.4417915,-94.0376881
124,"Tucson, AZ",32.2217429,-110.926479
125,"Tulsa, OK",36.1539816,-95.992775
126,"Tyler, TX",32.3512601,-95.3010624
127,"Valparaiso, FL",30.5085309,-86.5027282
128,"Waco, TX",31.549333,-97.1466695
129,"Washington, DC",38.9071923,-77.0368707
130,"West Palm Beach/Palm Beach, FL",26.7153424,-80.0533746
131,"Wichita Falls, TX",33.9137085,-98.4933873
132,"Wichita, KS",37.6871761,-97.330053
